永久回城石	1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0
永久随机石	1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0
黑暗空间石	1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0
星火空间石	1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0
猎魔空间石	1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0
信仰空间石	1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0
苦行空间石	1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0
转变种族证明	1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0
星火魔域加时卡	1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0
猎魔魔域加时卡	1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0
信仰魔域加时卡	1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0
苦行魔域加时卡	1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0
1枚幸运币	1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0
