1	3	不朽之王的呼唤[T1]	不朽之王的胜利[T1]|不朽之王之柱[T1]|不朽之王的碎魂者[T1]|不朽之王的统治[T1]|不朽之王的熔炉[T1]|不朽之王的琐事[T1]	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	不朽之王的呼唤[T1][3件]套装已生效！
2	6	不朽之王的呼唤[T1]	不朽之王的胜利[T1]|不朽之王之柱[T1]|不朽之王的碎魂者[T1]|不朽之王的统治[T1]|不朽之王的熔炉[T1]|不朽之王的琐事[T1]	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	不朽之王的呼唤[T1][6件]套装已生效！
3	3	不朽之王的呼唤[T2]	不朽之王的胜利[T2]|不朽之王之柱[T2]|不朽之王的碎魂者[T2]|不朽之王的统治[T2]|不朽之王的熔炉[T2]|不朽之王的琐事[T2]	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	不朽之王的呼唤[T2][3件]套装已生效！
4	6	不朽之王的呼唤[T2]	不朽之王的胜利[T2]|不朽之王之柱[T2]|不朽之王的碎魂者[T2]|不朽之王的统治[T2]|不朽之王的熔炉[T2]|不朽之王的琐事[T2]	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	不朽之王的呼唤[T2][6件]套装已生效！
5	3	不朽之王的呼唤[T3]	不朽之王的胜利[T3]|不朽之王之柱[T3]|不朽之王的碎魂者[T3]|不朽之王的统治[T3]|不朽之王的熔炉[T3]|不朽之王的琐事[T3]	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	不朽之王的呼唤[T3][3件]套装已生效！
6	6	不朽之王的呼唤[T3]	不朽之王的胜利[T3]|不朽之王之柱[T3]|不朽之王的碎魂者[T3]|不朽之王的统治[T3]|不朽之王的熔炉[T3]|不朽之王的琐事[T3]	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	不朽之王的呼唤[T3][6件]套装已生效！
7	3	不朽之王的呼唤[T4]	不朽之王的胜利[T4]|不朽之王之柱[T4]|不朽之王的碎魂者[T4]|不朽之王的统治[T4]|不朽之王的熔炉[T4]|不朽之王的琐事[T4]	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	不朽之王的呼唤[T4][3件]套装已生效！
8	6	不朽之王的呼唤[T4]	不朽之王的胜利[T4]|不朽之王之柱[T4]|不朽之王的碎魂者[T4]|不朽之王的统治[T4]|不朽之王的熔炉[T4]|不朽之王的琐事[T4]	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	不朽之王的呼唤[T4][6件]套装已生效！
9	3	奥吉德的权利[T1]	奥吉德的尖峰[T1]|奥吉德的统领[T1]|奥吉德的力量[T1]|奥吉德的统治[T1]|奥吉德的权威[T1]|奥吉德的智慧[T1]	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	奥吉德的权利[T1][3件]套装已生效！
10	6	奥吉德的权利[T1]	奥吉德的尖峰[T1]|奥吉德的统领[T1]|奥吉德的力量[T1]|奥吉德的统治[T1]|奥吉德的权威[T1]|奥吉德的智慧[T1]	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	奥吉德的权利[T1][6件]套装已生效！
