01:52:23	込込	1008	F3	OK
01:52:25	込込	1009	F4	OK
02:04:19	込込	1018	F8	OK
02:04:21	込込	30	F2	OK
02:04:25	込込	17	F1	OK
02:11:05	込込	1008	F3	OK
02:11:07	込込	1009	F4	OK
02:18:24	込込	17	F1	OK
02:20:30	込込	1018	F8	OK
02:20:34	込込	17	F1	OK
02:20:49	込込	13	F3	OK
02:24:09	込込	17	涙	OK
02:24:09	込込	30	F1	OK
02:24:14	込込	1018	F2	OK
02:27:41	込込	30	涙	OK
02:27:41	込込	1008	F1	OK
16:41:35	込込	17	F1	OK
16:41:42	込込	30	F2	OK
16:41:44	込込	30	涙	OK
16:41:44	込込	1095	F2	OK
16:42:07	込込	1095	涙	OK
16:42:07	込込	30	F2	OK
16:42:09	込込	1095	F8	OK
17:20:05	込込	1095	涙	OK
17:20:05	込込	1018	F8	OK
17:23:57	込込	17	涙	OK
17:23:57	込込	30	F1	OK
17:23:59	込込	1018	F2	OK
17:27:16	込込	30	涙	OK
17:27:16	込込	1008	F1	OK
17:32:38	込込	1008	涙	OK
17:32:38	込込	1009	F1	OK
22:33:22	込込	1001	F4	OK
22:38:39	込込	1009	涙	OK
22:38:39	込込	1011	F1	OK
22:52:46	込込	1010	F5	OK
