蓝色天赋;==================================================================,,
独来独往,在不组队的情况下对怪物攻击伤害+3%,154
通宵达旦,夜间增加6-6攻白天减少3-3攻,154
反击风暴,被攻击时有1%概率完全反击本次伤害,154
聪明绝顶,HP+50点但角色会变成秃头,154
欺软怕硬,等级低于自己伤害+10%等级高于自己伤害-5%,154
访遍名士,查看对方装备增加1点攻双防（最高5点）,154
体弱多病,自身HP-5%MP-5%攻增加10点！,154
武林正道,攻击红名玩家时可以造成5%的额外伤害,154
诅咒之力,被玩家击杀额外给击杀者增加50点PK值,154
驾鹤西去,死亡后随机获得1-100万金币每天3次,154
复仇之怒,角色死亡后当天暴击几率额外增加3%！,154
同归于尽,死亡时对敌人造成15%血量的真实伤害,154
法外狂徒,每杀死一个玩家后自动减少100点PK值,154
放下屠刀,每次被击杀自身PK值都会减少300点,154
忍气吞声,人物防御+10伤害吸收+1%,154
有备无患,攻击伤害+1%伤害抗性+1%,154
生生不息,固定生命+50人物生命+2%,154
粉色天赋;==================================================================,,
全胜之势,当自己满血时造成10%的额外伤害,253
苗疆蛊毒,攻击时小几率可以使目标中毒持续7秒,253
越战越勇,根据等级对怪造成额外伤害每10级+1%,253
奉天承运,幸运+1血量降低5%小退后属性生效,253
以暴制暴,激活天赋后杀人可以增加目标爆率10%,253
目中无人,激活天赋后可以增加忽视目标防御5%,253
灵魂收割,杀怪回复3%HP和MP杀人恢复20%HP和MP,253
一触即发,人物攻击+10攻击伤害+2%,253
得心应手,怪物爆率+10%鞭尸几率+2%,253
昙花一现,攻击速度+1,253
求全责备,攻击伤害+2%伤害抗性+2%,253
能屈能伸,人物防御+20伤害吸收+2%,253
致命一击,致命一击+2%致命伤害+2%,253
BOSS克星,BOSS切割+100,253
橙色天赋;==================================================================,,
神之后裔,激活天赋后可以使人物体力增加5%,116
万寿无疆,被攻击时有2%的概率格挡本次伤害,116
瘟疫之体,被攻击时1%的概率使对方中毒30秒,116
一掷千金,携带1千万金币增加1%伤害（最高5%）,116
起死回生,20%使自己复活（复活后拥有20%血量）,116
怪物猎人,对怪暴击+5%对怪吸血+2%,116
斗转星移,被攻击时有2%的概率麻痹敌人3秒,116
魔神之躯,激活天赋后可使魔法防御增加25-25！,116
血魔之体,每拥有1000点生命值可增加2-2双防,116
荆棘之体,被攻击时有5%的概率触发伤害反弹,116
避其锋芒,闪避+10需要小退后生效,116
一代宗师,等级低于你的玩家对你的伤害减少10%,116
绝处逢生,HP不足20%有20%概率抵挡本次伤害,116
坚韧不拔,激活天赋后自身防止全毒几率+10%,116
大敌当前,人物攻击+10攻击伤害+5%,116
铜墙铁壁,爆击抗性+2%致命抗性+2%,116
疾风之火,攻击时攻击速度+1烈火伤害+10%,116
防守坚固,增加全技能%5抗性,116
深沟坚垒,增加攻击抗性5%,116
捷足先登,增加打怪经验10%,116
红色天赋;==================================================================,,
重剑无锋,攻击速度-1攻上限提升7%,249
不怒自威,激活天赋后可使自身暴击几率增加10%,249
武圣之力,根据自身最大血量的0.2%增加攻防,249
疾风劲火,攻击时攻击速度+2烈火伤害+5%,249
走火入魔,攻击速度+1攻增加3%双防降低5%,249
众神之力,增加8%攻击伤害,249
睚眦必报,攻击你的敌人会受到你最大生命值1%的伤害反弹,249
恶魔契约,对敌人造成110%的伤害自身同时也受伤,249
哀而不伤,攻击时伤害可在95%-115%之间波动,249
见招拆招,格挡+5%HP+5%需要小退后生效,249
　血崩　,攻击敌人时有5%的概率撕裂敌人让其血流不止,249
夺命书生,增加全技能%10抗性,249
混世魔王,每100点PK值增加1点攻魔道最高30点,249
示敌以弱,攻击等级高的对手增加7%的额外伤害,249
背水一战,残血时几率对敌人造成25%的致命伤害,249
破釜沉舟,HP低于30%3秒内增加30%的伤害,249
百战之躯,被攻击时几率恢复自身20%的生命值,249
刺客之魂,攻击时有1%的概率使自身隐身3秒,249
赤膊上阵,不穿衣服冰抗+100%,249
神之守护,激活天赋后可以使人物体力增加10%,249
一命归阴,致命一击+4%致命伤害+4%,249
坚若磐石,爆击抗性+5%致命抗性+5%,249
攻守兼备,攻击伤害+5%伤害抗性+5%,249
潮鸣电掣,突破攻速上限+2攻击速度+1,249
生龙活虎,固定生命+500人物生命+5%,249
四大名捕,@zhuizong+名称可探测玩家每天限10次,249
招财进宝,金币回收+30%怪物爆率+20%,249
刺杀免疫,免疫刺杀30%伤害,249
快人一步,增加打怪经验20%,249
黑色天赋;==================================================================,,
中毒免疫,毒素免疫生命+5%,240
暴击免疫,免疫暴击+30%生命+5%,240
荆棘之体,生命+5%伤害反弹+15%,240
猥琐发育,打怪伤害+10%打怪暴率+20%装备回收+20%,240
唯快不破,每点攻速+20点真伤[包含人物]刺杀伤害+20%准确+10,240
冻不死你,被攻击时有1%的概率冰冻敌人2秒[等级大于对方]生命+5%,240
突破极限,满级时人物等级可以突破85级至86级,240
